img,inpainted,ssim,mse,psnr
000001.jpg,000001_triangle_random_inpainted.jpg,0.1291629611327278,2365.698330069065,14.391209975579615
000002.jpg,000002_triangle_random_inpainted.jpg,0.2112501501305481,3521.262661924888,12.663819392143797
000003.jpg,000003_triangle_random_inpainted.jpg,0.2366616450282294,597.4677868261005,20.367658661110084
000004.jpg,000004_triangle_random_inpainted.jpg,0.1695629018875446,1541.1821633508573,16.252263867423142
000005.jpg,000005_triangle_random_inpainted.jpg,0.2519230619128274,1138.944730783768,17.56577711150544
000006.jpg,000006_triangle_random_inpainted.jpg,0.2526110939360776,1321.2376988626602,16.92099403951434
000007.jpg,000007_triangle_random_inpainted.jpg,0.3528280815194799,2221.0233824691613,14.665272301339904
000008.jpg,000008_triangle_random_inpainted.jpg,0.2215431656044713,2143.9881283716454,14.818579846032229
000009.jpg,000009_triangle_random_inpainted.jpg,0.2475467681413135,2064.91743978284,14.981776686350642
000010.jpg,000010_triangle_random_inpainted.jpg,0.1943727392078519,1279.679629247844,17.059791042394068
000011.jpg,000011_triangle_random_inpainted.jpg,0.2485520781035518,891.3584853795141,18.630279577168647
000012.jpg,000012_triangle_random_inpainted.jpg,0.1246388479220307,3301.1373741538678,12.94416763348991
000013.jpg,000013_triangle_random_inpainted.jpg,0.2130481417875297,1470.53073566299,16.45606254711435
000014.jpg,000014_triangle_random_inpainted.jpg,0.1847575108025836,1412.0884616706182,16.632184564948986
000015.jpg,000015_triangle_random_inpainted.jpg,0.2740351867220032,1025.5042607291346,18.021428917682957
000016.jpg,000016_triangle_random_inpainted.jpg,0.1696722696375153,1462.4749080850772,16.47991937309367
000017.jpg,000017_triangle_random_inpainted.jpg,0.1823147099637647,1253.3511064151462,17.15007612125367
000018.jpg,000018_triangle_random_inpainted.jpg,0.1728358412688043,1666.574476858056,15.912556344310682
000019.jpg,000019_triangle_random_inpainted.jpg,0.2012001945096457,1332.660095179191,16.883609673520866
000020.jpg,000020_triangle_random_inpainted.jpg,0.153859245938611,2027.7883122014912,15.060577453354629
000021.jpg,000021_triangle_random_inpainted.jpg,0.3214510886842535,1248.9229632683916,17.165447100512328
000022.jpg,000022_triangle_random_inpainted.jpg,0.2101457099918306,871.952195649933,18.725876852639495
000023.jpg,000023_triangle_random_inpainted.jpg,0.2081658062550534,1469.1970844930077,16.460003030173162
000024.jpg,000024_triangle_random_inpainted.jpg,0.2887003665901663,1558.979366388345,16.20239993673286
000025.jpg,000025_triangle_random_inpainted.jpg,0.2027063110113613,1016.7667680307871,18.058590175555388
000026.jpg,000026_triangle_random_inpainted.jpg,0.3043234697038442,1668.9092877022988,15.906476292941033
000027.jpg,000027_triangle_random_inpainted.jpg,0.1370043249904837,3261.8085334845205,12.996218962824791
000028.jpg,000028_triangle_random_inpainted.jpg,0.164477574116354,1119.7475861595024,17.639602259590333
000029.jpg,000029_triangle_random_inpainted.jpg,0.298378431136453,1447.1681098168574,16.525613771399527
000030.jpg,000030_triangle_random_inpainted.jpg,0.2046157502554083,817.8119953269422,19.00426884551655
000031.jpg,000031_triangle_random_inpainted.jpg,0.2098451751129596,1026.714608459609,18.016306195059485
000032.jpg,000032_triangle_random_inpainted.jpg,0.2494434117369697,1342.9066848778475,16.85034525154242
000033.jpg,000033_triangle_random_inpainted.jpg,0.2030136416514598,1159.7110177644915,17.487305776976406
000034.jpg,000034_triangle_random_inpainted.jpg,0.1364888878649061,3274.7078050372816,12.979078059511693
000035.jpg,000035_triangle_random_inpainted.jpg,0.2162354384393675,1866.2935865718312,15.42100397235118
000036.jpg,000036_triangle_random_inpainted.jpg,0.2179814286655701,2835.440049135828,13.604598916139906
000037.jpg,000037_triangle_random_inpainted.jpg,0.1866213525013658,1337.353777961035,16.86834051966166
000038.jpg,000038_triangle_random_inpainted.jpg,0.2631187844639928,1401.516957014741,16.664820041919548
000039.jpg,000039_triangle_random_inpainted.jpg,0.3037745316375372,1532.3257482046524,16.27729261622569
000040.jpg,000040_triangle_random_inpainted.jpg,0.2085192344981359,3204.37558842731,13.073369463328728
000041.jpg,000041_triangle_random_inpainted.jpg,0.2762278410717679,1048.7651444868227,17.92402115641814
000042.jpg,000042_triangle_random_inpainted.jpg,0.1940641254553068,1526.9987973748412,16.292416658505697
000043.jpg,000043_triangle_random_inpainted.jpg,0.1972475846872059,1146.813051919046,17.535877338448028
000044.jpg,000044_triangle_random_inpainted.jpg,0.1903703859483007,1984.5655344809811,15.154149160809972
000045.jpg,000045_triangle_random_inpainted.jpg,0.22671694930532,2174.2255952994537,14.757757568533105
000046.jpg,000046_triangle_random_inpainted.jpg,0.2959796350530817,1914.3836717864135,15.310513794431088
000047.jpg,000047_triangle_random_inpainted.jpg,0.2069458783626286,3287.83958698416,12.961697406212735
000048.jpg,000048_triangle_random_inpainted.jpg,0.1641522665218833,1373.1988540700272,16.753469285313777
000049.jpg,000049_triangle_random_inpainted.jpg,0.2007631763402644,936.2083462186029,18.41707852360479
000050.jpg,000050_triangle_random_inpainted.jpg,0.2043194277821584,858.8751331477855,18.79150331992101
000051.jpg,000051_triangle_random_inpainted.jpg,0.2010087351393648,1403.055698725217,16.660054488068617
000052.jpg,000052_triangle_random_inpainted.jpg,0.2325543799659836,1656.8452650929455,15.93798409874141
000053.jpg,000053_triangle_random_inpainted.jpg,0.224421115601821,1350.381704635261,16.826238154946353
000054.jpg,000054_triangle_random_inpainted.jpg,0.2422025105474765,1675.404623234718,15.889606513357473
000055.jpg,000055_triangle_random_inpainted.jpg,0.2172661594645895,1115.3320705769163,17.656761706603493
000056.jpg,000056_triangle_random_inpainted.jpg,0.1994495227231726,3168.528278871594,13.122227733444516
000057.jpg,000057_triangle_random_inpainted.jpg,0.21901233461182,1078.6969900010308,17.801808939900287
000058.jpg,000058_triangle_random_inpainted.jpg,0.2722424613900651,1122.5924990550802,17.628582248458915
000059.jpg,000059_triangle_random_inpainted.jpg,0.2143650643648568,1075.9693244682678,17.81280470953957
000060.jpg,000060_triangle_random_inpainted.jpg,0.1501134656762491,3589.003607875477,12.581064659563411
000061.jpg,000061_triangle_random_inpainted.jpg,0.2516038102148029,959.5268786723018,18.310232159855165
000062.jpg,000062_triangle_random_inpainted.jpg,0.1728930136091195,881.9767120228155,18.67623242826237
000063.jpg,000063_triangle_random_inpainted.jpg,0.1100665198782974,3488.4542572930627,12.704473282454396
000064.jpg,000064_triangle_random_inpainted.jpg,0.2084584519910856,972.7069546094904,18.25098339885275
000065.jpg,000065_triangle_random_inpainted.jpg,0.2751175657911482,827.6987595780504,18.95208056519385
000066.jpg,000066_triangle_random_inpainted.jpg,0.2706320802641306,1049.4600556643643,17.921144476633415
000067.jpg,000067_triangle_random_inpainted.jpg,0.1393019085582737,3640.324554169673,12.519402558448242
000068.jpg,000068_triangle_random_inpainted.jpg,0.1450922859357204,3392.359017970656,12.825785528750144
000069.jpg,000069_triangle_random_inpainted.jpg,0.2261324549158296,3310.5877486857025,12.931752573184657
000070.jpg,000070_triangle_random_inpainted.jpg,0.2935068188452361,2912.977253204137,13.48743267536671
000071.jpg,000071_triangle_random_inpainted.jpg,0.2256614732119873,1142.2350359069512,17.553248836701368
000072.jpg,000072_triangle_random_inpainted.jpg,0.2151767531219155,2184.370863828471,14.737539857909404
000073.jpg,000073_triangle_random_inpainted.jpg,0.1480860067418221,3500.707873758719,12.689244894938858
000074.jpg,000074_triangle_random_inpainted.jpg,0.237170189459191,3160.289635089166,13.13353474085982
000075.jpg,000075_triangle_random_inpainted.jpg,0.1377123600451451,3844.951061746212,12.281895443634465
000076.jpg,000076_triangle_random_inpainted.jpg,0.2435261098921232,2999.038372332749,13.360983383275371
000077.jpg,000077_triangle_random_inpainted.jpg,0.2128312959331842,1772.0725870185204,15.645988535336098
000078.jpg,000078_triangle_random_inpainted.jpg,0.2173615977017344,1857.677516063636,15.441100361132085
000079.jpg,000079_triangle_random_inpainted.jpg,0.1545555180067923,3364.0572277772053,12.86216985663424
000080.jpg,000080_triangle_random_inpainted.jpg,0.1958872684090529,1875.567123664227,15.399477493711286
000081.jpg,000081_triangle_random_inpainted.jpg,0.0965050442929824,3125.966549840223,13.180960344328344
000082.jpg,000082_triangle_random_inpainted.jpg,0.2260094502846434,1132.377607119541,17.590890883067544
000083.jpg,000083_triangle_random_inpainted.jpg,0.193881380861924,1174.5194223963165,17.432201580005163
000084.jpg,000084_triangle_random_inpainted.jpg,0.2180045415633273,1028.56176339209,18.008499854059576
000085.jpg,000085_triangle_random_inpainted.jpg,0.1768168527555899,4145.185212864653,11.955364206431256
000086.jpg,000086_triangle_random_inpainted.jpg,0.4473727325030496,1924.9596433357383,15.28658731885894
000087.jpg,000087_triangle_random_inpainted.jpg,0.2201123403659689,686.9686286637117,19.76143455990781
000088.jpg,000088_triangle_random_inpainted.jpg,0.1967443842819526,1567.5672611071025,16.178541762768262
000089.jpg,000089_triangle_random_inpainted.jpg,0.2277914381864441,2954.0885733429545,13.426568481122231
000090.jpg,000090_triangle_random_inpainted.jpg,0.1553428111718119,3699.529515857472,12.449338642763273
000091.jpg,000091_triangle_random_inpainted.jpg,0.1969833481375437,2288.068747208192,14.53611291758888
000092.jpg,000092_triangle_random_inpainted.jpg,0.1468425273931151,1898.4556145414565,15.346799129791677
000093.jpg,000093_triangle_random_inpainted.jpg,0.2416337524545737,3057.7529464316394,13.276779675404018
000094.jpg,000094_triangle_random_inpainted.jpg,0.184807478244421,1006.154511562382,18.1041568197082
000095.jpg,000095_triangle_random_inpainted.jpg,0.2246205592031175,1788.3997611930042,15.606157576637344
000096.jpg,000096_triangle_random_inpainted.jpg,0.3118207947514391,1389.17242208707,16.70324207777048
000097.jpg,000097_triangle_random_inpainted.jpg,0.2346634913601371,2069.41688142116,14.97232373313091
000098.jpg,000098_triangle_random_inpainted.jpg,0.2093772030538239,1102.1621825928598,17.708348554422997
000099.jpg,000099_triangle_random_inpainted.jpg,0.2167115965409915,1397.9884204377556,16.67576786712048
