image_number,noise_type,mask_type,original_path,noisy_path,inpainted_path,PSNR_original_vs_noisy,PSNR_original_vs_inpainted,PSNR_noisy_vs_inpainted,SSIM_original_vs_noisy,SSIM_original_vs_inpainted,SSIM_noisy_vs_inpainted,MSE_original_vs_noisy,MSE_original_vs_inpainted,MSE_noisy_vs_inpainted
000965,gamma,rectangle_random,img_align_celeba\000965.jpg,noise_image\000965_gamma.jpg,noise_inpainted_results\000965_gamma_rectangle_random_inpainted.jpg,13.28571518660214,13.254402623349533,16.39611314799831,0.19509774946242076,0.118336155927519,0.07274068999199522,3051.4681562038277,3073.5486977287565,1490.9704841425282
000966,gamma,rectangle_random,img_align_celeba\000966.jpg,noise_image\000966_gamma.jpg,noise_inpainted_results\000966_gamma_rectangle_random_inpainted.jpg,13.605965251350833,13.115519588226793,16.034188179862895,0.2717231532243312,0.1501703253246656,0.11175634815230436,2834.548130776896,3173.426193175961,1620.5466704463458
000967,exponential,rectangle_random,img_align_celeba\000967.jpg,noise_image\000967_exponential.jpg,noise_inpainted_results\000967_exponential_rectangle_random_inpainted.jpg,18.95051848869951,15.098614912923162,15.758376502800534,0.6107571827223812,0.2059078467184576,0.15385650276318555,827.9965209772189,2010.1055818987734,1726.8026663917808
000968,exponential,rectangle_random,img_align_celeba\000968.jpg,noise_image\000968_exponential.jpg,noise_inpainted_results\000968_exponential_rectangle_random_inpainted.jpg,20.008091478202697,16.913520602229028,17.608487257850538,0.6510789683752157,0.3975504108917784,0.3454305761053289,649.0396264989863,1323.5132718276466,1127.7988179912725
000969,exponential,rectangle_random,img_align_celeba\000969.jpg,noise_image\000969_exponential.jpg,noise_inpainted_results\000969_exponential_rectangle_random_inpainted.jpg,18.554630212761705,16.006607869196316,16.640855721797713,0.3904698901134334,0.17227041840865245,0.13600341433381224,907.0209943992028,1630.8708638284713,1409.2718877778923
000970,uniform,rectangle_random,img_align_celeba\000970.jpg,noise_image\000970_uniform.jpg,noise_inpainted_results\000970_uniform_rectangle_random_inpainted.jpg,21.530378507612397,19.71916778508543,17.61620795314274,0.3390308940356091,0.17621349170004744,0.10445397673048429,457.132933030959,693.6870425729306,1125.7956482149607
000971,exponential,rectangle_random,img_align_celeba\000971.jpg,noise_image\000971_exponential.jpg,noise_inpainted_results\000971_exponential_rectangle_random_inpainted.jpg,19.01591192616264,15.505727847561936,16.286146428815137,0.5164791939017643,0.2660488562907803,0.2088248450106078,815.6224444215374,1830.2380338796688,1529.205030409236
000972,gamma,rectangle_random,img_align_celeba\000972.jpg,noise_image\000972_gamma.jpg,noise_inpainted_results\000972_gamma_rectangle_random_inpainted.jpg,13.811141899317489,12.719306969947418,15.526603016094757,0.329788521400894,0.16123094823209314,0.1439120217036515,2703.747749372917,3476.5594784042883,1821.4617651101262
000973,gaussian,rectangle_random,img_align_celeba\000973.jpg,noise_image\000973_gaussian.jpg,noise_inpainted_results\000973_gaussian_rectangle_random_inpainted.jpg,24.1385288400719,16.836618931178823,16.5207411386692,0.5080303809465145,0.3488122729844476,0.22925422105938661,250.74222588736558,1347.1577930110298,1448.7926931931415
000974,gaussian,rectangle_random,img_align_celeba\000974.jpg,noise_image\000974_gaussian.jpg,noise_inpainted_results\000974_gaussian_rectangle_random_inpainted.jpg,22.89172522401514,18.378043879966373,17.171624918405218,0.35190639265381446,0.18633314469524206,0.10880717221126922,334.12412809675976,944.6609713775213,1247.1476394186166
000975,exponential,rectangle_random,img_align_celeba\000975.jpg,noise_image\000975_exponential.jpg,noise_inpainted_results\000975_exponential_rectangle_random_inpainted.jpg,19.20804308672656,15.13422861851113,14.028620193333111,0.5367846168610976,0.2496378233546643,0.1817034542955954,780.3259543689654,1993.6893962821703,2571.688374050785
000976,uniform,rectangle_random,img_align_celeba\000976.jpg,noise_image\000976_uniform.jpg,noise_inpainted_results\000976_uniform_rectangle_random_inpainted.jpg,21.622772089318026,18.730931402360245,17.02037027256418,0.3929936405631329,0.22670999854286955,0.14611020508476497,447.510419887984,870.9379617221592,1291.3481170326083
000977,gaussian,rectangle_random,img_align_celeba\000977.jpg,noise_image\000977_gaussian.jpg,noise_inpainted_results\000977_gaussian_rectangle_random_inpainted.jpg,23.276258810651086,15.623752949904953,15.101068028839574,0.5283966195491427,0.20695812551365136,0.14620268576780995,305.81196955640314,1781.1687454901557,2008.970492732708
000978,gaussian,rectangle_random,img_align_celeba\000978.jpg,noise_image\000978_gaussian.jpg,noise_inpainted_results\000978_gaussian_rectangle_random_inpainted.jpg,23.73269767012433,15.713488494855028,15.239985369478841,0.503760054418306,0.24438947118206303,0.1644301558162409,275.3027780641171,1744.7431879874928,1945.7266347111981
000979,gamma,rectangle_random,img_align_celeba\000979.jpg,noise_image\000979_gamma.jpg,noise_inpainted_results\000979_gamma_rectangle_random_inpainted.jpg,14.100336733738315,13.028858420451817,15.401685066921287,0.3919292806546964,0.18659306435752868,0.1428113297035282,2529.5699154726317,3237.3862574305053,1874.613991684706
000980,uniform,rectangle_random,img_align_celeba\000980.jpg,noise_image\000980_uniform.jpg,noise_inpainted_results\000980_uniform_rectangle_random_inpainted.jpg,21.779389945545425,17.291484340194256,16.141401495166775,0.4123643613202039,0.16799545384949344,0.10387506807759372,431.65956258804937,1213.1986736762533,1581.0303662852627
000981,uniform,rectangle_random,img_align_celeba\000981.jpg,noise_image\000981_uniform.jpg,noise_inpainted_results\000981_uniform_rectangle_random_inpainted.jpg,22.59859605179387,17.479201943740975,16.849688458058402,0.3632031899097319,0.1341404673735924,0.16794283440274824,357.4544892279146,1161.8770315775007,1343.1097910868295
000982,uniform,rectangle_random,img_align_celeba\000982.jpg,noise_image\000982_uniform.jpg,noise_inpainted_results\000982_uniform_rectangle_random_inpainted.jpg,22.00833160003667,16.696030780185144,15.757019499688983,0.5395486991339808,0.22488638812562098,0.15335990439625025,409.49367762773596,1391.4810071126687,1727.3423100711266
000983,gamma,rectangle_random,img_align_celeba\000983.jpg,noise_image\000983_gamma.jpg,noise_inpainted_results\000983_gamma_rectangle_random_inpainted.jpg,14.009551834306546,13.664970685931383,18.023169885928414,0.24096385703981352,0.19603674963110762,0.11821241157207263,2583.0045871559632,2796.2969711026353,1025.0932464007146
000984,exponential,rectangle_random,img_align_celeba\000984.jpg,noise_image\000984_exponential.jpg,noise_inpainted_results\000984_exponential_rectangle_random_inpainted.jpg,19.330157417967367,13.704752257964872,14.412002017788804,0.6520504390380696,0.21830050831694636,0.18093412613197735,758.6904528742741,2770.7997199601414,2354.3995120777927
000985,gamma,rectangle_random,img_align_celeba\000985.jpg,noise_image\000985_gamma.jpg,noise_inpainted_results\000985_gamma_rectangle_random_inpainted.jpg,14.384937765057057,12.528531246984054,15.327962595733808,0.4549467796510469,0.26177226268546,0.21072260389529895,2369.1174105762293,3632.6807803319243,1906.707616053328
000986,uniform,rectangle_random,img_align_celeba\000986.jpg,noise_image\000986_uniform.jpg,noise_inpainted_results\000986_uniform_rectangle_random_inpainted.jpg,21.778452409388024,16.303158529546444,15.437133824881094,0.43648298795251067,0.1869318993318876,0.12206255995183769,431.7527574476858,1523.2265745799402,1859.3749613441914
000987,exponential,rectangle_random,img_align_celeba\000987.jpg,noise_image\000987_exponential.jpg,noise_inpainted_results\000987_exponential_rectangle_random_inpainted.jpg,18.532903362111732,15.193978156997698,16.4240468074377,0.36337346958956857,0.2045920221757902,0.13887406516732156,911.5700013744288,1966.4483558396041,1481.4113922963268
000988,exponential,rectangle_random,img_align_celeba\000988.jpg,noise_image\000988_exponential.jpg,noise_inpainted_results\000988_exponential_rectangle_random_inpainted.jpg,18.646867000429506,16.46463573210149,17.715695381433022,0.4039664758235362,0.2541547356693162,0.1884787272977648,887.9605281242484,1467.6306995842353,1100.2992646806172
000989,gamma,rectangle_random,img_align_celeba\000989.jpg,noise_image\000989_gamma.jpg,noise_inpainted_results\000989_gamma_rectangle_random_inpainted.jpg,13.498961203500492,12.513893223876316,15.568046139941739,0.26184207592847963,0.14411761553810642,0.114275700874917,2905.254887812253,3644.945495309762,1804.1628955777755
000990,gamma,rectangle_random,img_align_celeba\000990.jpg,noise_image\000990_gamma.jpg,noise_inpainted_results\000990_gamma_rectangle_random_inpainted.jpg,13.815562090016568,12.774456143875334,15.696445110636228,0.333766205244906,0.1635852928001819,0.11483599421499947,2700.9973112737516,3432.691277531526,1751.603683469058
000991,exponential,rectangle_random,img_align_celeba\000991.jpg,noise_image\000991_exponential.jpg,noise_inpainted_results\000991_exponential_rectangle_random_inpainted.jpg,18.557856697997504,16.48677386711173,17.499480853376607,0.3609465534359031,0.1999074082513206,0.14579867815345862,906.347395457513,1460.1684963749442,1156.4644194756554
000992,gaussian,rectangle_random,img_align_celeba\000992.jpg,noise_image\000992_gaussian.jpg,noise_inpainted_results\000992_gaussian_rectangle_random_inpainted.jpg,23.541658817452202,18.342414155984955,17.367415493018168,0.46885602688657024,0.283039709160913,0.19048219347576398,287.6831855822424,952.4428924853108,1192.1717091021544
000993,gaussian,rectangle_random,img_align_celeba\000993.jpg,noise_image\000993_gaussian.jpg,noise_inpainted_results\000993_gaussian_rectangle_random_inpainted.jpg,23.258090627244425,14.772461101851741,14.338664013268412,0.6181326867443692,0.2680322353717545,0.20448895472156872,307.09397656598975,2166.8769542658833,2394.4951379582863
000994,gaussian,rectangle_random,img_align_celeba\000994.jpg,noise_image\000994_gaussian.jpg,noise_inpainted_results\000994_gaussian_rectangle_random_inpainted.jpg,23.845075735309216,19.119285070097195,18.09745005514538,0.3827430557936414,0.2081079956435514,0.18988539140668412,268.2704188571625,796.4377813283854,1007.7095058928633
