image_number,noise_type,mask_type,original_path,noisy_path,inpainted_path,PSNR_original_vs_noisy,PSNR_original_vs_inpainted,PSNR_noisy_vs_inpainted,SSIM_original_vs_noisy,SSIM_original_vs_inpainted,SSIM_noisy_vs_inpainted,MSE_original_vs_noisy,MSE_original_vs_inpainted,MSE_noisy_vs_inpainted
000874,uniform,circle_random,img_align_celeba\000874.jpg,noise_image\000874_uniform.jpg,noise_inpainted_results\000874_uniform_circle_random_inpainted.jpg,22.523325301067352,16.27831290058048,15.736069771416146,0.49751008398141333,0.28323465036425993,0.1974629561629393,363.70379342335843,1531.9658024945882,1735.6948854070026
000875,gaussian,circle_random,img_align_celeba\000875.jpg,noise_image\000875_gaussian.jpg,noise_inpainted_results\000875_gaussian_circle_random_inpainted.jpg,23.48306008784895,17.176012228271368,16.427685036571972,0.47934197418329133,0.24436710704153985,0.16568408483993854,291.591158987046,1245.8883877950727,1480.1708844449026
000876,exponential,circle_random,img_align_celeba\000876.jpg,noise_image\000876_exponential.jpg,noise_inpainted_results\000876_exponential_circle_random_inpainted.jpg,18.54269228169221,16.91131049496182,17.361506069618827,0.4445943592115209,0.18704367175976636,0.14259815093993214,909.5176528192969,1324.186973851493,1193.7949953613029
000877,uniform,circle_random,img_align_celeba\000877.jpg,noise_image\000877_uniform.jpg,noise_inpainted_results\000877_uniform_circle_random_inpainted.jpg,22.421424206750693,16.156006970607713,15.40745186277624,0.42742758156720195,0.1999594071467313,0.12564962644264113,372.338496031337,1575.7222365391883,1872.126430264921
000878,uniform,circle_random,img_align_celeba\000878.jpg,noise_image\000878_uniform.jpg,noise_inpainted_results\000878_uniform_circle_random_inpainted.jpg,22.77238178643046,17.652513294540807,16.967953710791022,0.3562540133688339,0.2375785412139423,0.18553318658463827,343.43312545098445,1116.4236590729479,1307.0282960519535
000879,exponential,circle_random,img_align_celeba\000879.jpg,noise_image\000879_exponential.jpg,noise_inpainted_results\000879_exponential_circle_random_inpainted.jpg,19.667365527195933,15.64983905099574,16.631146323304883,0.48730079610444443,0.3012662464832576,0.2219341126428801,702.0108236264302,1770.502138954747,1412.426081503625
000880,uniform,circle_random,img_align_celeba\000880.jpg,noise_image\000880_uniform.jpg,noise_inpainted_results\000880_uniform_circle_random_inpainted.jpg,22.26042188806617,19.115678802952,17.58329987473956,0.3947578495189335,0.23969183963182447,0.14817690449467613,386.400938047624,797.0993969693845,1134.3586142322097
000881,uniform,circle_random,img_align_celeba\000881.jpg,noise_image\000881_uniform.jpg,noise_inpainted_results\000881_uniform_circle_random_inpainted.jpg,23.114039412250897,17.29120953011892,16.799000930121156,0.42353779704353656,0.19118384819966872,0.1506120201314357,317.45079545064084,1213.2754441122909,1358.8773751846888
000882,gaussian,circle_random,img_align_celeba\000882.jpg,noise_image\000882_gaussian.jpg,noise_inpainted_results\000882_gaussian_circle_random_inpainted.jpg,23.5320555068066,19.276744382747076,18.072205431483184,0.3892890290360074,0.2183215663255604,0.1530526323279006,288.32002714496787,768.0790554238395,1013.5841665807649
000883,exponential,circle_random,img_align_celeba\000883.jpg,noise_image\000883_exponential.jpg,noise_inpainted_results\000883_exponential_circle_random_inpainted.jpg,18.576879707956213,16.26875451340101,17.384685365001097,0.32915008486353753,0.20277877874111935,0.14961040404813786,902.3860856269113,1535.341219118304,1187.4404099233757
000884,gaussian,circle_random,img_align_celeba\000884.jpg,noise_image\000884_gaussian.jpg,noise_inpainted_results\000884_gaussian_circle_random_inpainted.jpg,23.626796842465055,18.73692173085385,17.746524578890018,0.4454114878971008,0.22056061594650142,0.14270483192593328,282.09843486925746,869.7374841081676,1092.5162440298252
000885,exponential,circle_random,img_align_celeba\000885.jpg,noise_image\000885_exponential.jpg,noise_inpainted_results\000885_exponential_circle_random_inpainted.jpg,19.936740861673123,15.596883183508744,16.676584321041666,0.5589161659074694,0.3308701023541601,0.2464692588488375,659.7908291241453,1792.222983884823,1397.7256296601724
000886,gamma,circle_random,img_align_celeba\000886.jpg,noise_image\000886_gamma.jpg,noise_inpainted_results\000886_gamma_circle_random_inpainted.jpg,13.665879334217848,12.787714553972993,15.986488357995208,0.3404864060083305,0.15120458979605786,0.10939473455936288,2795.7119798646186,3422.227725664021,1638.443708552383
000887,uniform,circle_random,img_align_celeba\000887.jpg,noise_image\000887_uniform.jpg,noise_inpainted_results\000887_uniform_circle_random_inpainted.jpg,22.275339604246454,18.360904275719225,17.252865960650666,0.39370309333479075,0.21255930029859227,0.15863635709536358,385.0759543689654,948.3964797443563,1224.0347988179913
000888,exponential,circle_random,img_align_celeba\000888.jpg,noise_image\000888_exponential.jpg,noise_inpainted_results\000888_exponential_circle_random_inpainted.jpg,19.518402438884713,17.195629314545467,17.609697562652745,0.5507071760825694,0.2983612856973439,0.23192313008852383,726.5075249974229,1240.2733996495206,1127.4845634470673
000889,gamma,circle_random,img_align_celeba\000889.jpg,noise_image\000889_gamma.jpg,noise_inpainted_results\000889_gamma_circle_random_inpainted.jpg,16.283832901952564,14.406714799809945,17.928687187210244,0.6267948452283975,0.47444204442296983,0.44054176975732734,1530.0198690856612,2357.2675669175,1047.638963337113
000890,uniform,circle_random,img_align_celeba\000890.jpg,noise_image\000890_uniform.jpg,noise_inpainted_results\000890_uniform_circle_random_inpainted.jpg,21.63878530030186,18.303350672403774,16.719154506785518,0.4261489536122636,0.19938640962182455,0.1262924912782962,445.863407552486,961.0484743840841,1384.0918462014226
000891,exponential,circle_random,img_align_celeba\000891.jpg,noise_image\000891_exponential.jpg,noise_inpainted_results\000891_exponential_circle_random_inpainted.jpg,18.68560828742028,16.56237174308987,17.431214550653248,0.45711624962092196,0.21367174372004147,0.152156772217181,880.0746916125486,1434.9712057176237,1174.786388001237
000892,gaussian,circle_random,img_align_celeba\000892.jpg,noise_image\000892_gaussian.jpg,noise_inpainted_results\000892_gaussian_circle_random_inpainted.jpg,23.69263450428102,16.74322390966502,16.226032367412927,0.5312247396778181,0.30014890324329985,0.20471034289546308,277.85416451912175,1376.4421709102155,1550.519113149847
000893,gaussian,circle_random,img_align_celeba\000893.jpg,noise_image\000893_gaussian.jpg,noise_inpainted_results\000893_gaussian_circle_random_inpainted.jpg,24.00768748174665,15.587050602831333,15.20552243468005,0.5411119202124334,0.2819578401028317,0.203134570251321,258.41136652578774,1796.2852369171562,1961.2281465828264
000894,exponential,circle_random,img_align_celeba\000894.jpg,noise_image\000894_exponential.jpg,noise_inpainted_results\000894_exponential_circle_random_inpainted.jpg,18.712293696370544,16.043564105904665,16.781765211773955,0.5207167190262291,0.19911041109968805,0.13350858874840163,874.6836150912277,1617.0518675050682,1364.2810277291
000895,gaussian,circle_random,img_align_celeba\000895.jpg,noise_image\000895_gaussian.jpg,noise_inpainted_results\000895_gaussian_circle_random_inpainted.jpg,23.14648488500952,16.51460853256086,15.713000192630737,0.5606731669749263,0.20907458584077565,0.14495054757939344,315.0880063910937,1450.839956361887,1744.939370511631
000896,uniform,circle_random,img_align_celeba\000896.jpg,noise_image\000896_uniform.jpg,noise_inpainted_results\000896_uniform_circle_random_inpainted.jpg,22.269699251980157,16.663901391773535,15.768719640630437,0.43839770483716994,0.23730971624369765,0.15317082807817786,385.57639246813045,1401.8134470673126,1722.6950142596984
000897,gamma,circle_random,img_align_celeba\000897.jpg,noise_image\000897_gamma.jpg,noise_inpainted_results\000897_gamma_circle_random_inpainted.jpg,14.797432701654305,12.760788174673179,15.632733141432563,0.5172275533896368,0.24637337732566014,0.2048793796733963,2154.4533295536544,3443.5115452015257,1777.4895113905784
000898,gamma,circle_random,img_align_celeba\000898.jpg,noise_image\000898_gamma.jpg,noise_inpainted_results\000898_gamma_circle_random_inpainted.jpg,13.295570131080597,12.25792927037277,15.015698093056836,0.2878534858808491,0.05813878603406277,0.04895517879422392,3044.5516613407553,3866.22775143456,2048.8518279902414
000899,gaussian,circle_random,img_align_celeba\000899.jpg,noise_image\000899_gaussian.jpg,noise_inpainted_results\000899_gaussian_circle_random_inpainted.jpg,23.063320199608977,18.393360988684297,17.189569537649504,0.4323455543443944,0.20641872837716277,0.12346551542856228,321.17988695323504,941.3351200907123,1242.0051798783632
000900,gamma,circle_random,img_align_celeba\000900.jpg,noise_image\000900_gamma.jpg,noise_inpainted_results\000900_gamma_circle_random_inpainted.jpg,14.0201776506279,12.96903847123103,15.23570209549408,0.44833066469017524,0.18960708447989952,0.1468450487393073,2576.6925145174037,3282.286705837886,1947.646574236333
000901,gaussian,circle_random,img_align_celeba\000901.jpg,noise_image\000901_gaussian.jpg,noise_inpainted_results\000901_gaussian_circle_random_inpainted.jpg,23.620307703091015,13.49776003310133,13.23263788314197,0.7376075157715539,0.14562549206122272,0.10530275422000829,282.52025564374804,2906.0585334845205,3088.9904992612446
000902,exponential,circle_random,img_align_celeba\000902.jpg,noise_image\000902_exponential.jpg,noise_inpainted_results\000902_exponential_circle_random_inpainted.jpg,19.8821627005275,14.601761804475931,15.233900965122405,0.6220449009797212,0.272910568403125,0.20292664555755016,668.1347970999553,2253.7419080507166,1948.4544806377348
000903,gamma,circle_random,img_align_celeba\000903.jpg,noise_image\000903_gamma.jpg,noise_inpainted_results\000903_gamma_circle_random_inpainted.jpg,14.72993112575965,13.20707912571078,16.416111180634836,0.5323253202654673,0.24101400623470293,0.19230470588112003,2188.2011820087278,3107.2231814589563,1484.1207693364945
000904,exponential,circle_random,img_align_celeba\000904.jpg,noise_image\000904_exponential.jpg,noise_inpainted_results\000904_exponential_circle_random_inpainted.jpg,18.58600036748157,14.988261783028776,15.823654387785597,0.4978831748680208,0.15076427071773674,0.11512858204339099,900.4929646428203,2061.8363055355117,1701.0415506992406
000905,gaussian,circle_random,img_align_celeba\000905.jpg,noise_image\000905_gaussian.jpg,noise_inpainted_results\000905_gaussian_circle_random_inpainted.jpg,24.458350930506967,18.211416540740434,17.8404231656354,0.375360292957948,0.15801213833666963,0.22503315531330262,232.94064185822768,981.609395938563,1069.1485327973062
000906,exponential,circle_random,img_align_celeba\000906.jpg,noise_image\000906_exponential.jpg,noise_inpainted_results\000906_exponential_circle_random_inpainted.jpg,20.447614156791257,16.617967036511374,16.925645189114928,0.6151121485370852,0.409518832263615,0.33057061161919543,586.5687815689104,1416.7188004673058,1319.8234546266708
