image_number,noise_type,mask_type,original_path,noisy_path,inpainted_path,PSNR_original_vs_noisy,PSNR_original_vs_inpainted,PSNR_noisy_vs_inpainted,SSIM_original_vs_noisy,SSIM_original_vs_inpainted,SSIM_noisy_vs_inpainted,MSE_original_vs_noisy,MSE_original_vs_inpainted,MSE_noisy_vs_inpainted
001921,uniform,line_random,img_align_celeba\001921.jpg,noise_image\001921_uniform.jpg,noise_inpainted_results\001921_uniform_line_random_inpainted.jpg,22.003084424487234,17.881609182692074,16.544894202929214,0.3491949744664977,0.21389730267734808,0.12935632850733741,409.988729684225,1059.057262137924,1440.757671030478
001922,uniform,line_random,img_align_celeba\001922.jpg,noise_image\001922_uniform.jpg,noise_inpainted_results\001922_uniform_line_random_inpainted.jpg,21.69472151873219,17.23855342480508,16.044583216458307,0.4260468080685569,0.1994184533359998,0.12406157390428281,440.1576040270763,1228.0753616465656,1616.6724564477888
001923,gaussian,line_random,img_align_celeba\001923.jpg,noise_image\001923_gaussian.jpg,noise_inpainted_results\001923_gaussian_line_random_inpainted.jpg,23.77623766264663,16.525385116893666,16.03697623241392,0.4350502758106935,0.2421364095456193,0.1881863116057162,272.5565319726489,1447.2443047108545,1619.5066573892725
001924,gaussian,line_random,img_align_celeba\001924.jpg,noise_image\001924_gaussian.jpg,noise_inpainted_results\001924_gaussian_line_random_inpainted.jpg,23.710596660679588,17.46894462188494,16.779566741183658,0.4844729735643749,0.23362953602410272,0.1724052783552076,276.70734975775696,1164.6244373432291,1364.9718242105625
001925,exponential,line_random,img_align_celeba\001925.jpg,noise_image\001925_exponential.jpg,noise_inpainted_results\001925_exponential_line_random_inpainted.jpg,20.636175920231317,17.63371889207835,18.62689367510727,0.6647192903384453,0.46214403905991147,0.4087781698813944,561.6461275469883,1121.2655310449095,892.053688623166
001926,exponential,line_random,img_align_celeba\001926.jpg,noise_image\001926_exponential.jpg,noise_inpainted_results\001926_exponential_line_random_inpainted.jpg,18.581519008405877,15.876557635274489,17.01766394763473,0.372717230174044,0.16620883015504992,0.14088068001556797,901.4226368415627,1680.4461395732399,1292.153077002371
001927,exponential,line_random,img_align_celeba\001927.jpg,noise_image\001927_exponential.jpg,noise_inpainted_results\001927_exponential_line_random_inpainted.jpg,18.50517175458228,16.192000729324093,17.067495028621174,0.4373936649371834,0.20657092489875284,0.1490456442167195,917.409399374635,1562.7168247259733,1277.4116070508196
001928,gaussian,line_random,img_align_celeba\001928.jpg,noise_image\001928_gaussian.jpg,noise_inpainted_results\001928_gaussian_line_random_inpainted.jpg,23.311293541137225,18.455502906148247,17.43278088693132,0.4653816870013281,0.23621912575580703,0.14850214592913225,303.3548946843968,927.961739339587,1174.362763289008
001929,exponential,line_random,img_align_celeba\001929.jpg,noise_image\001929_exponential.jpg,noise_inpainted_results\001929_exponential_line_random_inpainted.jpg,20.86579262553833,15.935947783695214,16.658477267277693,0.7844382587017457,0.4628528117376935,0.4222203870743875,532.722571556197,1657.622306978662,1403.5653369068482
001930,exponential,line_random,img_align_celeba\001930.jpg,noise_image\001930_exponential.jpg,noise_inpainted_results\001930_exponential_line_random_inpainted.jpg,18.737352924559204,13.721345792345598,14.196562284289334,0.5126119040579544,0.1819697722371035,0.15676903121114685,869.6511356217572,2760.2332405593925,2474.1392124523245
001931,gaussian,line_random,img_align_celeba\001931.jpg,noise_image\001931_gaussian.jpg,noise_inpainted_results\001931_gaussian_line_random_inpainted.jpg,23.20362282792051,17.66571202565116,16.753400741707267,0.4911520821255939,0.23538816898836756,0.1630917644585249,310.96970243617494,1113.0358640002748,1373.2205270934269
001932,gaussian,line_random,img_align_celeba\001932.jpg,noise_image\001932_gaussian.jpg,noise_inpainted_results\001932_gaussian_line_random_inpainted.jpg,23.622375563277757,19.820480410524965,18.665830938428655,0.39772153872352756,0.17155860165825176,0.16279552450927107,282.38576779026215,677.6919389753633,884.0916056763907
001933,exponential,line_random,img_align_celeba\001933.jpg,noise_image\001933_exponential.jpg,noise_inpainted_results\001933_exponential_line_random_inpainted.jpg,19.316120491140026,15.898525398621342,16.5517687974498,0.557960820245523,0.23998233691541768,0.17825296984292174,761.1466000068722,1671.9674603992717,1438.4788509775624
001934,exponential,line_random,img_align_celeba\001934.jpg,noise_image\001934_exponential.jpg,noise_inpainted_results\001934_exponential_line_random_inpainted.jpg,19.030381973401578,15.447874967128685,16.603690360870115,0.4729245987741357,0.2663572816253857,0.21278485417484594,812.9094337353538,1854.7819640586881,1421.3836803765935
001935,gaussian,line_random,img_align_celeba\001935.jpg,noise_image\001935_gaussian.jpg,noise_inpainted_results\001935_gaussian_line_random_inpainted.jpg,23.488689844699987,18.595304629966577,17.596680387532388,0.4441023200284783,0.2891285960765621,0.2047170490380894,291.2134144246298,898.5658265470913,1130.8690598907328
001936,exponential,line_random,img_align_celeba\001936.jpg,noise_image\001936_exponential.jpg,noise_inpainted_results\001936_exponential_line_random_inpainted.jpg,18.632181910897337,16.640867237266026,17.648304254189508,0.4405043567514191,0.1908347540488393,0.1299154513107635,890.9681304332887,1409.26815104972,1117.5061849293886
001937,gaussian,line_random,img_align_celeba\001937.jpg,noise_image\001937_gaussian.jpg,noise_inpainted_results\001937_gaussian_line_random_inpainted.jpg,24.132106229242048,16.915743059180606,16.346828662929624,0.49905809979726734,0.2475232682146018,0.17602861400900535,251.11331306050923,1322.8361509122772,1507.9866422705563
001938,gamma,line_random,img_align_celeba\001938.jpg,noise_image\001938_gamma.jpg,noise_inpainted_results\001938_gamma_line_random_inpainted.jpg,14.49538810709356,13.645385454353347,16.85515030335634,0.4338486394868167,0.29194881155105634,0.22008354968131438,2309.625416623716,2808.9358141772327,1341.4217091021544
